,Player,Pos
1,Ambition,Jungle
2,Coco,Middle
3,MadLife,Support
4,Shy,Top
5,Space,ADC
6,Ares,Jungle
7,Frozen,Middle
8,Lilac,Top
9,Sonstar,ADC
10,TusiN,Support
11,Wisdom,Jungle
12,Chaser,Jungle
13,Chei,Support
14,Cpt Jack,ADC
15,GBM,Middle
16,Pilot,ADC
17,Sweet,Support
18,TrAce,Top
19,Winged,Jungle
20,Arrow,ADC
21,Fixer,Support
22,Hachani,Support
23,Nagne,Middle
24,Score,Jungle
25,Ssumday,Top
26,Cain,Support
27,Duke,Top
28,Ggoong,Middle
29,Ohq,ADC
30,Peanut,Jungle
31,Pure,Support
32,Tank,Middle
33,Watch,Jungle
34,Zefa,ADC
35,GorillA,Support
36,Hojin,Jungle
37,Kuro,Middle
38,PraY,ADC
39,Smeb,Top
40,Ace,Middle
41,BlisS,Middle
42,CuVee,Top
43,Eve,Jungle
44,Fury,ADC
45,Wraith,Support
46,Bang,ADC
47,Bengi,Jungle
48,Easyhoon,Middle
49,Faker,Middle
50,MaRin,Top
51,Piccaboo,Support
52,Tom,Jungle
53,Wolf,Support
54,Ambition,Jungle
55,Coco,Middle
56,Helper,Top
57,MadLife,Support
58,Max,Support
59,Shy,Top
60,Space,ADC
61,Trick,Jungle
62,Apple,Top
63,Expession,Top
64,Frozen,Middle
65,IgNar,Support
66,Lilac,Jungle
67,Lilac,Top
68,Neo,Jungle
69,Paragon,ADC
70,Roar,ADC
71,Sonstar,ADC
72,TusiN,Jungle
73,Chaser,Jungle
74,Chei,Support
75,Cpt Jack,ADC
76,GBM,Middle
77,Kuzan,Middle
78,Pilot,ADC
79,Sweet,Support
80,TrAce,Top
81,Winged,Jungle
82,Arrow,ADC
83,Edge,Middle
84,Fixer,Support
85,Nagne,Middle
86,Piccaboo,Support
87,Score,Jungle
88,Ssumday,Top
89,Duke,Top
90,Ggoong,Middle
91,Ohq,ADC
92,Peanut,Jungle
93,Pure,Support
94,Tank,Middle
95,Watch,Jungle
96,cvMax,Top
97,ikssu,Top
98,Lira,Jungle
99,Mickey,Middle
100,Sangyoon,ADC
101,SnowFlower,Support
102,GorillA,Support
103,Hojin,Jungle
104,Kuro,Middle
105,PraY,ADC
106,Smeb,Top
107,Wisdom,Jungle
